"Id","Plate","Row","Column","Clog","Scan.rate","Status.sort","Status.sel","TOF","EXT","Green","Yellow","Red","PH.Ext","PW.Ext","PC.Ext","PH.Green","PW.Green","PCGreen","PH.Yellow","PW.Yellow","PCYellow","PH.Red","PW.Red","PCRed","Time.Stamp","X","filtering","fluo1","fluo2","log.fluo1","log.fluo2","pca.ind.1","pca.ind.2","clust"
"43",-1,0,0,"N",2500,0,40,854,624,6,6,8,44112,852,"n/a",648,790,0,1012,845,"n/a",2025,814,"n/a",1801406,NA,"in",6,8,1.79175946922805,2.07944154167984,-0.860990763466951,0.171615295782785,1
"44",-1,0,0,"N",2500,0,40,476,638,7,9,13,63980,475,"n/a",1008,475,0,2128,475,"n/a",3343,475,"n/a",1801515,NA,"in",7,13,1.94591014905531,2.56494935746154,-0.538305278640479,-0.222534864890312,1
"45",-1,0,0,"N",2500,0,40,427,568,6,9,10,65532,426,"n/a",964,424,0,1627,426,"n/a",2253,426,"n/a",1801625,NA,"in",6,10,1.79175946922805,2.30258509299405,-0.778513551807923,-0.0357263402917608,1
"46",-1,0,0,"N",2500,0,2,796,632,122,192,30,50776,794,"n/a",14352,794,0,22553,794,"n/a",2156,747,"n/a",1801843,NA,"in",122,30,4.80402104473326,3.40119738166216,2.42649827757889,0.0568367925866152,2
"47",-1,0,0,"N",2500,0,40,493,611,7,6,7,65532,492,"n/a",1216,492,0,1262,492,"n/a",1507,479,"n/a",1801906,NA,"in",7,7,1.94591014905531,1.94591014905531,-0.767111477682563,0.352667069063423,1
"48",-1,0,0,"N",2500,0,40,878,682,5,8,11,59156,876,"n/a",620,866,0,1789,876,"n/a",3412,865,"n/a",1802031,NA,"in",5,11,1.6094379124341,2.39789527279837,-0.912695928255693,-0.191675916427552,1
"49",-1,0,0,"N",2500,0,2,1011,782,200,309,42,47944,1009,"n/a",20388,1009,0,31272,1009,"n/a",1408,774,"n/a",1802375,NA,"in",200,42,5.29831736654804,3.73766961828337,3.0101561927678,-0.0731088030056934,2
"50",-1,0,0,"N",2500,0,40,835,752,6,7,9,56168,833,"n/a",644,795,0,1268,830,"n/a",2229,830,"n/a",1802453,NA,"in",6,9,1.79175946922805,2.19722457733622,-0.817456382551791,0.0621730682526096,1
"51",-1,0,0,"N",2500,0,40,872,784,8,8,11,52088,870,"n/a",780,868,0,1827,870,"n/a",3400,867,"n/a",1802578,NA,"in",8,11,2.07944154167984,2.39789527279837,-0.475975615816266,-0.017955508279943,1
"52",-1,0,0,"N",2500,0,40,495,639,7,8,11,65532,494,"n/a",936,494,0,1558,494,"n/a",2647,490,"n/a",1802593,NA,"in",7,11,1.94591014905531,2.39789527279837,-0.600050980087472,-0.0673107187162487,1
"53",-1,0,0,"N",2500,0,1,192,70,0,0,0,17044,191,"n/a",292,191,0,262,191,"n/a",317,188,"n/a",1802875,NA,"out.neg",0,0,-Inf,-Inf,NA,NA,NA
"54",-1,0,0,"N",2500,0,40,589,493,4,7,9,51864,588,"n/a",676,577,0,1705,588,"n/a",3253,585,"n/a",1802875,NA,"in",4,9,1.38629436111989,2.19722457733622,-1.19420847057387,-0.0876929321082882,1
"55",-1,0,0,"N",2500,0,40,803,686,7,7,9,51740,801,"n/a",692,783,0,1362,801,"n/a",2223,788,"n/a",1803093,NA,"in",7,9,1.94591014905531,2.19722457733622,-0.674221886331098,0.119149477262042,1
"56",-1,0,0,"N",2500,0,2,531,561,153,238,37,61012,530,"n/a",19584,530,0,30576,530,"n/a",2772,505,"n/a",1803250,NA,"in",153,37,5.03043792139244,3.61091791264422,2.71439729991718,-0.0543452926976475,2
"57",-1,0,0,"N",2500,0,40,697,681,5,8,11,56976,696,"n/a",712,696,0,1828,696,"n/a",3312,678,"n/a",1803468,NA,"in",5,11,1.6094379124341,2.39789527279837,-0.912695928255693,-0.191675916427552,1
"58",-1,0,0,"N",2500,0,40,878,702,6,7,10,51480,876,"n/a",560,859,0,1574,870,"n/a",3306,858,"n/a",1803546,NA,"in",6,10,1.79175946922805,2.30258509299405,-0.778513551807923,-0.0357263402917608,1
"59",-1,0,0,"N",2500,0,40,795,655,7,6,8,47568,793,"n/a",684,781,0,1135,786,"n/a",1874,767,"n/a",1803750,NA,"in",7,8,1.94591014905531,2.07944154167984,-0.717756267246258,0.228591704792218,1
"60",-1,0,0,"N",2500,0,40,707,623,6,6,8,47224,706,"n/a",700,694,0,1117,706,"n/a",2532,706,"n/a",1804046,NA,"in",6,8,1.79175946922805,2.07944154167984,-0.860990763466951,0.171615295782785,1
"61",-1,0,0,"N",2500,0,2,717,726,109,166,28,54132,716,"n/a",11672,716,0,17460,716,"n/a",2482,683,"n/a",1804125,NA,"in",109,28,4.69134788222914,3.3322045101752,2.29630326477755,0.0792982374723075,2
"62",-1,0,0,"N",2500,0,40,910,633,6,7,9,49084,908,"n/a",688,896,0,1408,905,"n/a",2552,886,"n/a",1804140,NA,"in",6,9,1.79175946922805,2.19722457733622,-0.817456382551791,0.0621730682526096,1
"63",-1,0,0,"N",2500,0,40,701,620,6,6,7,56384,700,"n/a",940,700,0,1154,700,"n/a",1684,698,"n/a",1804156,NA,"in",6,7,1.79175946922805,1.94591014905531,-0.910345973903256,0.295690660053991,1
"64",-1,0,0,"N",2500,0,2,422,455,88,135,22,56276,421,"n/a",12480,421,0,18934,421,"n/a",2032,421,"n/a",1804265,NA,"in",88,22,4.47733681447821,3.09104245335832,2.00831027304076,0.224280689784778,2
"65",-1,0,0,"N",2500,0,2,412,377,0,0,0,45956,411,"n/a",176,394,0,178,406,"n/a",181,377,"n/a",1804265,NA,"out.neg",0,0,-Inf,-Inf,NA,NA,NA
"66",-1,0,0,"N",2500,0,2,921,780,164,251,36,48212,919,"n/a",17440,919,0,26991,919,"n/a",1455,848,"n/a",1804328,NA,"in",164,36,5.0998664278242,3.58351893845611,2.76878215239867,-0.0032247575628096,2
"67",-1,0,0,"N",2500,0,40,734,516,4,5,6,42616,733,"n/a",484,733,0,1169,733,"n/a",2165,689,"n/a",1804453,NA,"in",4,6,1.38629436111989,1.79175946922805,-1.34407447093476,0.289059155913786,1
"68",-1,0,0,"N",2500,0,40,631,524,5,8,11,49376,630,"n/a",680,628,0,2455,630,"n/a",4173,630,"n/a",1804718,NA,"in",5,11,1.6094379124341,2.39789527279837,-0.912695928255693,-0.191675916427552,1
"69",-1,0,0,"N",2500,0,2,732,560,132,203,30,58624,731,"n/a",24676,731,0,38123,731,"n/a",1796,644,"n/a",1804750,NA,"in",132,30,4.88280192258637,3.40119738166216,2.49970028592397,0.0859553895575216,2
"70",-1,0,0,"N",2500,0,40,882,768,6,7,9,55332,880,"n/a",584,870,0,1517,880,"n/a",3456,871,"n/a",1804765,NA,"in",6,9,1.79175946922805,2.19722457733622,-0.817456382551791,0.0621730682526096,1
"71",-1,0,0,"N",2500,0,40,791,748,6,7,9,55264,789,"n/a",716,789,0,1367,789,"n/a",2519,779,"n/a",1804828,NA,"in",6,9,1.79175946922805,2.19722457733622,-0.817456382551791,0.0621730682526096,1
"72",-1,0,0,"N",2500,0,40,631,597,4,6,7,59344,630,"n/a",504,630,0,685,630,"n/a",1048,630,"n/a",1805296,NA,"in",4,7,1.38629436111989,1.94591014905531,-1.28709806192533,0.145824659693093,1
"73",-1,0,0,"N",2500,0,40,681,592,5,7,10,56088,680,"n/a",712,680,0,1640,680,"n/a",2717,676,"n/a",1805468,NA,"in",5,10,1.6094379124341,2.30258509299405,-0.947924003755452,-0.103115128993632,1
"74",-1,0,0,"N",2500,0,40,485,560,6,9,13,65532,484,"n/a",1060,477,0,1936,484,"n/a",3743,472,"n/a",1805656,NA,"in",6,13,1.79175946922805,2.56494935746154,-0.681539774861172,-0.279511273899745,1
"75",-1,0,0,"N",2500,0,40,776,732,6,8,11,53768,774,"n/a",940,766,0,1711,774,"n/a",3215,766,"n/a",1805687,NA,"in",6,11,1.79175946922805,2.39789527279837,-0.743285476308165,-0.124287127725681,1
"76",-1,0,0,"N",2500,0,40,724,512,4,8,10,38240,723,"n/a",564,723,0,2076,723,"n/a",3774,721,"n/a",1805843,NA,"in",4,10,1.38629436111989,2.30258509299405,-1.15526563983,-0.185592340652659,1
"77",-1,0,0,"N",2500,0,40,595,596,6,7,10,62916,594,"n/a",832,569,0,1311,594,"n/a",2246,588,"n/a",1806203,NA,"in",6,10,1.79175946922805,2.30258509299405,-0.778513551807923,-0.0357263402917608,1
"78",-1,0,0,"N",2500,0,1,154,100,0,0,0,34528,152,"n/a",80,134,0,87,151,"n/a",115,110,"n/a",1806328,NA,"out.neg",0,0,-Inf,-Inf,NA,NA,NA
"79",-1,0,0,"N",2500,0,40,508,586,6,7,9,61520,507,"n/a",744,505,0,1124,507,"n/a",2013,506,"n/a",1806421,NA,"in",6,9,1.79175946922805,2.19722457733622,-0.817456382551791,0.0621730682526096,1
"80",-1,0,0,"N",2500,0,40,488,574,5,7,9,62664,487,"n/a",816,487,0,1592,487,"n/a",2729,486,"n/a",1806546,NA,"in",5,9,1.6094379124341,2.19722457733622,-0.986866834499319,-0.00521572044926111,1
"81",-1,0,0,"N",2500,0,40,853,721,7,9,12,48120,851,"n/a",608,811,0,1747,821,"n/a",3708,807,"n/a",1806593,NA,"in",7,12,1.94591014905531,2.484906649788,-0.56789026688536,-0.148160383229857,1
"82",-1,0,0,"N",2500,0,40,529,634,7,6,8,64472,528,"n/a",872,528,0,1013,528,"n/a",1584,528,"n/a",1806703,NA,"in",7,8,1.94591014905531,2.07944154167984,-0.717756267246258,0.228591704792218,1
"83",-1,0,0,"N",2500,0,40,663,644,7,8,10,54400,662,"n/a",844,659,0,1417,662,"n/a",3137,662,"n/a",1806750,NA,"in",7,10,1.94591014905531,2.30258509299405,-0.63527905558723,0.0212500687176717,1
"84",-1,0,0,"N",2500,0,40,893,686,6,6,7,44200,891,"n/a",592,876,0,1219,890,"n/a",2167,887,"n/a",1806781,NA,"in",6,7,1.79175946922805,1.94591014905531,-0.910345973903256,0.295690660053991,1
"85",-1,0,0,"N",2500,0,40,832,754,6,8,10,60912,830,"n/a",944,830,0,1895,830,"n/a",3439,829,"n/a",1806843,NA,"in",6,10,1.79175946922805,2.30258509299405,-0.778513551807923,-0.0357263402917608,1
"86",-1,0,0,"N",2500,0,40,904,726,6,7,9,43656,902,"n/a",576,902,0,1319,902,"n/a",2675,889,"n/a",1806859,NA,"in",6,9,1.79175946922805,2.19722457733622,-0.817456382551791,0.0621730682526096,1
"87",-1,0,0,"N",2500,0,1,156,90,0,0,0,28564,154,"n/a",64,107,0,72,150,"n/a",72,58,"n/a",1806937,NA,"out.neg",0,0,-Inf,-Inf,NA,NA,NA
"88",-1,0,0,"N",2500,0,2,849,840,160,249,37,58420,847,"n/a",17972,847,0,27682,847,"n/a",2579,702,"n/a",1806953,NA,"in",160,37,5.07517381523383,3.61091791264422,2.75596522050328,-0.0378102337036427,2
"89",-1,0,0,"N",2500,0,40,866,721,6,7,8,48892,864,"n/a",624,843,0,1248,862,"n/a",2378,853,"n/a",1807000,NA,"in",6,8,1.79175946922805,2.07944154167984,-0.860990763466951,0.171615295782785,1
"90",-1,0,0,"N",2500,0,40,780,689,6,7,8,54844,778,"n/a",740,774,0,1067,778,"n/a",1745,752,"n/a",1807078,NA,"in",6,8,1.79175946922805,2.07944154167984,-0.860990763466951,0.171615295782785,1
"91",-1,0,0,"N",2500,0,40,840,687,5,7,9,56204,838,"n/a",744,831,0,1647,838,"n/a",2848,833,"n/a",1807078,NA,"in",5,9,1.6094379124341,2.19722457733622,-0.986866834499319,-0.00521572044926111,1
"92",-1,0,0,"N",2500,0,40,849,649,6,7,8,48988,847,"n/a",620,831,0,1096,839,"n/a",1931,835,"n/a",1807187,NA,"in",6,8,1.79175946922805,2.07944154167984,-0.860990763466951,0.171615295782785,1
