Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
66	-1	0	0	N	2500	0	2	921	780	164	251	36	48212	919	n/a	17440	919	0	26991	919	n/a	1455	848	n/a	1804328	
67	-1	0	0	N	2500	0	40	734	516	4	5	6	42616	733	n/a	484	733	0	1169	733	n/a	2165	689	n/a	1804453	
68	-1	0	0	N	2500	0	40	631	524	5	8	11	49376	630	n/a	680	628	0	2455	630	n/a	4173	630	n/a	1804718	
69	-1	0	0	N	2500	0	2	732	560	132	203	30	58624	731	n/a	24676	731	0	38123	731	n/a	1796	644	n/a	1804750	
70	-1	0	0	N	2500	0	40	882	768	6	7	9	55332	880	n/a	584	870	0	1517	880	n/a	3456	871	n/a	1804765	
71	-1	0	0	N	2500	0	40	791	748	6	7	9	55264	789	n/a	716	789	0	1367	789	n/a	2519	779	n/a	1804828	
72	-1	0	0	N	2500	0	40	631	597	4	6	7	59344	630	n/a	504	630	0	685	630	n/a	1048	630	n/a	1805296	
73	-1	0	0	N	2500	0	40	681	592	5	7	10	56088	680	n/a	712	680	0	1640	680	n/a	2717	676	n/a	1805468	
74	-1	0	0	N	2500	0	40	485	560	6	9	13	65532	484	n/a	1060	477	0	1936	484	n/a	3743	472	n/a	1805656	
75	-1	0	0	N	2500	0	40	776	732	6	8	11	53768	774	n/a	940	766	0	1711	774	n/a	3215	766	n/a	1805687	
76	-1	0	0	N	2500	0	40	724	512	4	8	10	38240	723	n/a	564	723	0	2076	723	n/a	3774	721	n/a	1805843	
77	-1	0	0	N	2500	0	40	595	596	6	7	10	62916	594	n/a	832	569	0	1311	594	n/a	2246	588	n/a	1806203	
78	-1	0	0	N	2500	0	1	154	100	0	0	0	34528	152	n/a	80	134	0	87	151	n/a	115	110	n/a	1806328	
79	-1	0	0	N	2500	0	40	508	586	6	7	9	61520	507	n/a	744	505	0	1124	507	n/a	2013	506	n/a	1806421	
80	-1	0	0	N	2500	0	40	488	574	5	7	9	62664	487	n/a	816	487	0	1592	487	n/a	2729	486	n/a	1806546	
81	-1	0	0	N	2500	0	40	853	721	7	9	12	48120	851	n/a	608	811	0	1747	821	n/a	3708	807	n/a	1806593	
82	-1	0	0	N	2500	0	40	529	634	7	6	8	64472	528	n/a	872	528	0	1013	528	n/a	1584	528	n/a	1806703	
83	-1	0	0	N	2500	0	40	663	644	7	8	10	54400	662	n/a	844	659	0	1417	662	n/a	3137	662	n/a	1806750	
84	-1	0	0	N	2500	0	40	893	686	6	6	7	44200	891	n/a	592	876	0	1219	890	n/a	2167	887	n/a	1806781	
85	-1	0	0	N	2500	0	40	832	754	6	8	10	60912	830	n/a	944	830	0	1895	830	n/a	3439	829	n/a	1806843	
86	-1	0	0	N	2500	0	40	904	726	6	7	9	43656	902	n/a	576	902	0	1319	902	n/a	2675	889	n/a	1806859	
87	-1	0	0	N	2500	0	1	156	90	0	0	0	28564	154	n/a	64	107	0	72	150	n/a	72	58	n/a	1806937	
88	-1	0	0	N	2500	0	2	849	840	160	249	37	58420	847	n/a	17972	847	0	27682	847	n/a	2579	702	n/a	1806953	
89	-1	0	0	N	2500	0	40	866	721	6	7	8	48892	864	n/a	624	843	0	1248	862	n/a	2378	853	n/a	1807000	
90	-1	0	0	N	2500	0	40	780	689	6	7	8	54844	778	n/a	740	774	0	1067	778	n/a	1745	752	n/a	1807078	
91	-1	0	0	N	2500	0	40	840	687	5	7	9	56204	838	n/a	744	831	0	1647	838	n/a	2848	833	n/a	1807078	
92	-1	0	0	N	2500	0	40	849	649	6	7	8	48988	847	n/a	620	831	0	1096	839	n/a	1931	835	n/a	1807187	
93	-1	0	0	N	2500	0	2	879	646	110	172	28	56680	877	n/a	13232	874	0	21145	877	n/a	3029	695	n/a	1807187	
94	-1	0	0	N	2500	0	40	548	524	5	7	10	52540	547	n/a	872	547	0	1954	547	n/a	3912	547	n/a	1807328	
95	-1	0	0	N	2500	0	40	891	794	7	8	9	52816	889	n/a	700	874	0	1398	885	n/a	2218	870	n/a	1807593	
96	-1	0	0	N	2500	0	40	888	818	8	10	13	54384	886	n/a	752	886	0	1946	882	n/a	3354	875	n/a	1807750	
97	-1	0	0	N	2500	0	40	534	660	6	8	10	60660	533	n/a	760	526	0	1493	533	n/a	2768	533	n/a	1807796	
98	-1	0	0	N	2500	0	1	158	113	0	0	0	35732	156	n/a	56	103	0	76	149	n/a	55	58	n/a	1807906	
99	-1	0	0	N	2500	0	40	556	644	5	6	9	62856	555	n/a	688	549	0	1288	555	n/a	2035	548	n/a	1807937	
100	-1	0	0	N	2500	0	40	912	724	6	7	7	42792	910	n/a	532	896	0	825	908	n/a	1343	907	n/a	1808093	
101	-1	0	0	N	2500	0	1	157	82	0	0	0	25956	155	n/a	108	147	0	92	153	n/a	132	92	n/a	1808218	
102	-1	0	0	N	2500	0	2	936	736	120	186	28	50540	934	n/a	13768	934	0	20889	934	n/a	2159	785	n/a	1808343	
103	-1	0	0	N	2500	0	40	560	681	5	7	9	63808	559	n/a	688	553	0	1300	559	n/a	2364	547	n/a	1808421	
104	-1	0	0	N	2500	0	40	484	601	7	6	7	62860	483	n/a	1036	476	0	922	483	n/a	1405	473	n/a	1808468	
105	-1	0	0	N	2500	0	40	748	626	5	6	9	54648	747	n/a	544	747	0	1801	746	n/a	3324	698	n/a	1808546	
106	-1	0	0	N	2500	0	2	624	402	77	121	20	44864	623	n/a	15796	623	0	24475	623	n/a	2870	480	n/a	1808578	
107	-1	0	0	N	2500	0	40	836	663	6	7	9	45152	834	n/a	824	825	0	1542	834	n/a	3209	809	n/a	1808734	
108	-1	0	0	N	2500	0	40	585	664	7	8	10	63832	584	n/a	808	579	0	1042	584	n/a	1687	584	n/a	1808953	
109	-1	0	0	N	2500	0	2	614	495	142	225	36	57020	613	n/a	28388	613	0	45256	613	n/a	3272	575	n/a	1809031	
110	-1	0	0	N	2500	0	40	767	660	6	8	11	56468	765	n/a	992	762	0	2095	765	n/a	3729	749	n/a	1809187	
111	-1	0	0	N	2500	0	40	371	402	5	6	8	54144	370	n/a	960	367	0	1348	370	n/a	1773	369	n/a	1809296	
112	-1	0	0	N	2500	0	40	896	659	6	7	10	57660	894	n/a	700	883	0	1528	894	n/a	2958	877	n/a	1809515	
113	-1	0	0	N	2500	0	2	551	585	114	177	28	59816	550	n/a	20524	550	0	31218	550	n/a	2320	528	n/a	1809578	
114	-1	0	0	N	2500	0	40	811	775	8	8	11	54960	809	n/a	824	807	0	1662	809	n/a	3859	805	n/a	1809609	
115	-1	0	0	N	2500	0	2	464	605	134	209	32	64680	463	n/a	18868	463	0	28964	463	n/a	2883	443	n/a	1809625	
116	-1	0	0	N	2500	0	1	411	298	4	5	7	37484	410	n/a	708	410	0	1047	410	n/a	1711	410	n/a	1809718	
117	-1	0	0	N	2500	0	2	946	717	117	181	28	51716	944	n/a	11692	944	0	18362	944	n/a	2542	743	n/a	1809734	
118	-1	0	0	N	2500	0	40	916	645	5	6	8	36548	914	n/a	528	905	0	1186	914	n/a	2393	913	n/a	1809890	
119	-1	0	0	N	2500	0	40	664	620	7	7	9	54748	663	n/a	944	648	0	1154	663	n/a	1936	657	n/a	1810062	
120	-1	0	0	N	2500	0	40	864	784	8	7	10	65532	862	n/a	1140	855	0	1467	857	n/a	2943	844	n/a	1810062	
121	-1	0	0	N	2500	0	40	958	817	7	7	9	55764	956	n/a	672	946	0	1258	949	n/a	1993	927	n/a	1810062	
122	-1	0	0	N	2500	0	40	566	642	6	8	13	65532	565	n/a	836	565	0	1950	565	n/a	3361	565	n/a	1810140	
123	-1	0	0	N	2500	0	40	869	671	5	7	10	54832	867	n/a	652	853	0	2031	864	n/a	3700	855	n/a	1810156	
124	-1	0	0	N	2500	0	40	602	667	6	7	9	65532	601	n/a	836	582	0	1150	601	n/a	1614	599	n/a	1810234	
125	-1	0	0	N	2500	0	2	609	733	159	246	36	59160	608	n/a	15712	608	0	24449	608	n/a	2223	584	n/a	1810234	
126	-1	0	0	N	2500	0	1	174	63	11	17	2	18312	172	n/a	4084	172	0	6104	172	n/a	315	151	n/a	1810328	
127	-1	0	0	N	2500	0	2	528	513	153	242	38	50632	527	n/a	24772	527	0	38720	527	n/a	4112	512	n/a	1810328	
128	-1	0	0	N	2500	0	40	859	786	7	8	11	56816	857	n/a	852	844	0	1668	854	n/a	3099	850	n/a	1810453	
129	-1	0	0	N	2500	0	40	506	542	5	7	9	58968	505	n/a	776	503	0	1467	505	n/a	2654	501	n/a	1810453	
130	-1	0	0	N	2500	0	1	155	94	0	0	0	28480	153	n/a	88	124	0	110	152	n/a	188	94	n/a	1810531	
131	-1	0	0	N	2500	0	40	601	556	6	7	10	65532	600	n/a	1016	591	0	1695	597	n/a	2581	586	n/a	1810656	
132	-1	0	0	N	2500	0	40	735	673	6	7	9	56808	734	n/a	692	712	0	1374	729	n/a	2286	717	n/a	1810687	
133	-1	0	0	N	2500	0	40	494	532	5	8	11	55696	493	n/a	828	483	0	1764	493	n/a	3477	485	n/a	1810875	
134	-1	0	0	N	2500	0	40	788	642	5	7	9	52136	786	n/a	544	778	0	1540	786	n/a	2838	779	n/a	1810921	
135	-1	0	0	N	2500	0	40	715	662	5	8	11	50008	714	n/a	588	714	0	1622	714	n/a	2905	710	n/a	1810921	
136	-1	0	0	N	2500	0	40	802	793	8	7	8	65532	800	n/a	888	793	0	870	800	n/a	1258	798	n/a	1811015	
137	-1	0	0	N	2500	0	40	529	703	8	8	11	64360	528	n/a	944	523	0	1611	528	n/a	2952	519	n/a	1811015	
138	-1	0	0	N	2500	0	40	831	751	6	7	10	55124	829	n/a	656	829	0	1449	829	n/a	2829	781	n/a	1811031	
139	-1	0	0	N	2500	0	2	805	611	128	198	28	44544	803	n/a	15564	803	0	23747	803	n/a	2338	592	n/a	1811390	
140	-1	0	0	N	2500	0	40	463	486	5	5	7	51624	462	n/a	740	457	0	975	462	n/a	1661	462	n/a	1811546	
141	-1	0	0	N	2500	0	40	484	587	6	6	8	62692	483	n/a	892	481	0	1075	483	n/a	1836	482	n/a	1811593	
142	-1	0	0	N	2500	0	2	582	670	138	214	34	58048	581	n/a	15508	581	0	24294	581	n/a	3523	556	n/a	1811609	
143	-1	0	0	N	2500	0	1	150	94	0	0	0	34088	148	n/a	68	89	0	76	141	n/a	95	69	n/a	1811640	
144	-1	0	0	N	2500	0	40	491	521	7	6	8	63484	490	n/a	896	490	0	978	490	n/a	1509	490	n/a	1811828	
145	-1	0	0	N	2500	0	40	821	656	7	8	10	54540	819	n/a	896	819	0	1948	819	n/a	2922	797	n/a	1812031	
146	-1	0	0	N	2500	0	2	604	753	124	193	30	61244	603	n/a	15484	603	0	23959	603	n/a	2417	567	n/a	1812046	
147	-1	0	0	N	2500	0	2	718	689	119	185	29	54264	717	n/a	14340	717	0	22018	717	n/a	2776	666	n/a	1812125	
148	-1	0	0	N	2500	0	1	195	77	10	17	6	18164	194	n/a	3892	194	0	6096	194	n/a	2298	191	n/a	1812140	
149	-1	0	0	N	2500	0	1	424	252	68	104	14	31372	423	n/a	11264	423	0	17891	423	n/a	550	342	n/a	1812140	
150	-1	0	0	N	2500	0	1	396	180	9	15	2	23840	395	n/a	2020	395	0	3102	395	n/a	265	268	n/a	1812140	
151	-1	0	0	N	2500	0	40	517	652	7	6	7	64800	516	n/a	1084	515	0	1043	516	n/a	1358	514	n/a	1812156	
152	-1	0	0	N	2500	0	2	855	706	172	265	41	40128	853	n/a	19408	853	1	30314	853	n/a	4351	791	n/a	1812328	
153	-1	0	0	N	2500	0	40	615	505	4	6	8	52956	614	n/a	716	606	0	1414	614	n/a	2723	604	n/a	1812359	
154	-1	0	0	N	2500	0	40	839	747	7	6	8	49884	837	n/a	636	823	0	1197	836	n/a	1992	823	n/a	1812609	
155	-1	0	0	N	2500	0	40	358	336	2	4	6	58976	357	n/a	660	357	0	1201	357	n/a	2161	356	n/a	1812828	
156	-1	0	0	N	2500	0	1	177	129	1	0	0	52048	175	n/a	568	166	0	473	175	n/a	478	170	n/a	1812828	
157	-1	0	0	N	2500	0	40	954	750	7	7	8	50404	952	n/a	608	919	0	1062	935	n/a	1882	901	n/a	1812890	
158	-1	0	0	N	2500	0	40	678	469	5	8	11	47740	677	n/a	700	666	0	2852	677	n/a	5122	677	n/a	1813078	
159	-1	0	0	N	2500	0	40	800	682	5	8	11	59956	798	n/a	748	786	0	1868	796	n/a	3629	777	n/a	1813234	
160	-1	0	0	N	2500	0	1	536	260	2	2	2	25968	535	n/a	368	519	0	377	535	n/a	514	528	n/a	1813234	
161	-1	0	0	N	2500	0	1	424	183	0	1	0	23660	423	n/a	200	396	0	290	423	n/a	264	380	n/a	1813234	
162	-1	0	0	N	2500	0	1	266	192	1	3	5	46228	265	n/a	688	242	0	1185	262	n/a	2518	244	n/a	1813234	
163	-1	0	0	N	2500	0	40	543	619	6	6	8	64672	542	n/a	916	526	0	1086	540	n/a	1396	539	n/a	1813359	
164	-1	0	0	N	2500	0	40	501	642	6	7	10	65052	500	n/a	784	488	0	1592	500	n/a	2891	500	n/a	1813484	
165	-1	0	0	N	2500	0	40	911	855	8	10	13	57264	909	n/a	692	909	0	2009	909	n/a	3325	909	n/a	1813484	
166	-1	0	0	N	2500	0	40	504	561	6	6	9	60204	503	n/a	840	503	0	1482	503	n/a	2356	503	n/a	1813765	
167	-1	0	0	N	2500	0	40	848	666	6	7	8	50024	846	n/a	584	817	0	1279	843	n/a	2384	803	n/a	1813828	
168	-1	0	0	N	2500	0	40	672	614	6	7	9	44856	671	n/a	824	669	0	1334	669	n/a	2959	659	n/a	1813843	
169	-1	0	0	N	2500	0	40	826	633	5	6	8	43880	824	n/a	520	781	0	1096	798	n/a	2017	763	n/a	1813843	
170	-1	0	0	N	2500	0	40	705	689	5	6	8	60440	704	n/a	548	694	0	1185	704	n/a	2051	704	n/a	1813890	
171	-1	0	0	N	2500	0	40	530	528	5	6	8	64456	529	n/a	1056	520	0	1192	529	n/a	2259	528	n/a	1813937	
172	-1	0	0	N	2500	0	40	782	693	6	7	9	57000	780	n/a	980	780	0	1677	780	n/a	3023	748	n/a	1813937	
173	-1	0	0	N	2500	0	40	827	593	5	7	9	55000	825	n/a	720	816	0	1893	825	n/a	3332	807	n/a	1814250	
174	-1	0	0	N	2500	0	40	1032	701	6	7	8	42184	1030	n/a	540	994	0	1103	1021	n/a	2121	981	n/a	1814250	
175	-1	0	0	N	2500	0	1	150	94	0	0	0	32204	148	n/a	72	127	0	99	146	n/a	109	109	n/a	1814281	
176	-1	0	0	N	2500	0	2	881	642	138	214	30	50584	879	n/a	18200	879	0	28269	879	n/a	2034	637	n/a	1814921	
177	-1	0	0	N	2500	0	1	169	113	0	0	0	33304	167	n/a	72	141	0	108	167	n/a	113	134	n/a	1814984	
178	-1	0	0	N	2500	0	40	514	461	4	5	7	54188	513	n/a	640	499	0	1394	512	n/a	2745	513	n/a	1815046	
179	-1	0	0	N	2500	0	2	556	542	124	190	29	48944	555	n/a	18236	555	0	28281	555	n/a	1783	554	n/a	1815078	
180	-1	0	0	N	2500	0	40	799	743	7	7	9	53128	797	n/a	736	797	0	1228	797	n/a	2289	795	n/a	1815281	
181	-1	0	0	N	2500	0	40	832	666	7	7	9	50652	830	n/a	640	811	0	1185	830	n/a	1803	824	n/a	1815343	
182	-1	0	0	N	2500	0	40	600	698	6	7	10	58424	599	n/a	636	595	0	1409	599	n/a	3036	599	n/a	1815375	
183	-1	0	0	N	2500	0	40	796	651	6	8	10	52640	794	n/a	588	788	0	1472	794	n/a	2498	779	n/a	1815406	
184	-1	0	0	N	2500	0	40	837	700	6	8	11	55536	835	n/a	744	824	0	1695	835	n/a	3294	835	n/a	1815437	
185	-1	0	0	N	2500	0	2	708	746	175	270	40	56792	707	n/a	19108	707	0	28798	707	n/a	2590	620	n/a	1815484	
186	-1	0	0	N	2500	0	40	480	591	6	6	7	61556	479	n/a	980	472	0	921	479	n/a	1195	479	n/a	1815484	
187	-1	0	0	N	2500	0	1	158	106	0	0	0	32388	156	n/a	56	114	0	103	155	n/a	68	79	n/a	1815625	
188	-1	0	0	N	2500	0	40	832	631	6	8	10	50276	830	n/a	732	824	0	1619	829	n/a	2658	809	n/a	1815656	
189	-1	0	0	N	2500	0	2	477	581	134	209	32	60868	476	n/a	17560	476	0	28237	476	n/a	2615	471	n/a	1815734	
190	-1	0	0	N	2500	0	40	391	484	4	6	8	64380	390	n/a	872	390	0	1276	390	n/a	1964	390	n/a	1815750	
191	-1	0	0	N	2500	0	40	582	595	6	9	13	65532	581	n/a	1292	576	0	1984	581	n/a	2732	565	n/a	1815859	
192	-1	0	0	N	2500	0	40	828	767	6	8	10	54408	826	n/a	728	819	0	1434	826	n/a	3061	823	n/a	1815937	
193	-1	0	0	N	2500	0	1	271	118	0	0	0	23680	270	n/a	248	270	0	235	270	n/a	314	260	n/a	1816000	
194	-1	0	0	N	2500	0	40	617	525	5	6	9	59248	616	n/a	732	605	0	1420	613	n/a	2727	608	n/a	1816000	
195	-1	0	0	N	2500	0	40	867	564	5	5	6	40600	865	n/a	448	840	0	900	863	n/a	1710	811	n/a	1816296	
196	-1	0	0	N	2500	0	2	818	790	154	235	36	56356	816	n/a	15432	816	0	24212	816	n/a	2568	705	n/a	1816328	
197	-1	0	0	N	2500	0	2	784	739	185	287	39	55156	782	n/a	22596	782	0	35409	782	n/a	1368	621	n/a	1816343	
198	-1	0	0	N	2500	0	40	631	579	4	7	11	65532	630	n/a	964	606	0	2092	629	n/a	3915	624	n/a	1816375	
199	-1	0	0	N	2500	0	2	810	545	139	220	36	34120	808	n/a	19492	808	0	30338	808	n/a	3548	748	n/a	1816453	
200	-1	0	0	N	2500	0	1	151	66	0	0	0	20784	149	n/a	128	140	0	104	149	n/a	112	92	n/a	1816640	
201	-1	0	0	N	2500	0	40	697	501	5	9	11	41716	696	n/a	800	689	0	1746	688	n/a	2761	673	n/a	1816750	
202	-1	0	0	N	2500	0	40	818	648	6	9	12	52660	816	n/a	704	804	0	1823	816	n/a	3630	806	n/a	1816796	
203	-1	0	0	N	2500	0	40	467	473	4	7	8	65532	466	n/a	1044	465	0	1807	466	n/a	2056	466	n/a	1816875	
204	-1	0	0	N	2500	0	40	879	755	7	7	8	45020	877	n/a	628	867	0	1063	876	n/a	1894	876	n/a	1817031	
205	-1	0	0	N	2500	0	40	679	645	6	6	8	63268	678	n/a	848	656	0	1047	678	n/a	1719	668	n/a	1817125	
